mq_ra,mq_dec,mq_name,mq_z,mq_cite
16.038167,0.1454773,SDSS J010409.16+000843.7,0.071,DR14
16.038638,0.3056684,SDSS J010409.27+001820.4,1.129,DR14
16.0394126,-1.152696,SDSS J010409.45-010909.7,1.429,DR14Q
16.04468,-1.1466943,Q 0101-0124,0.21,0334
16.0450021,1.1899004,SDSS J010410.80+011123.6,1.787,DR14Q
16.045523199999998,0.148307,SDSS J010410.92+000853.9,4.22,DR14Q
16.0464669,-0.875276,SDSS J010411.15-005230.9,0.9990000000000001,DR14Q
16.050227,-1.0522526,SDSS J010412.05-010308.1,0.247,DR14
16.050241800000002,0.30634120000000004,SDSS J010412.05+001822.8,1.4709999999999999,DR14Q
16.050836999999998,-0.51851,2SLAQ J010412.20-003106.6,2.206,2SLAQ
16.051216099999998,-0.6160009,SDSS J010412.29-003657.6,1.817,DR14Q
16.0580483,1.0536881,SDSS J010413.93+010313.2,1.89,DR14Q
16.0617653,-0.4568585,2SLAQ J010414.82-002724.6,2.215,2SLAQ
16.062669,-0.22624160000000001,SDSS J010415.04-001334.4,0.278,DR14
16.065804699999997,-0.5821531,SDSS J010415.79-003455.7,0.978,DR14Q
16.0675238,-0.024740099999999998,SDSS J010416.20-000129.0,2.8680000000000003,DR14Q
16.0720116,-0.3777143,SDSS J010417.28-002239.7,3.175,DR14Q
16.073563399999998,-0.0862623,SDSS J010417.65-000510.5,1.318,DR14Q
16.0742147,-0.8880558000000001,SDSS J010417.81-005317.0,0.298,DR14Q
16.077989600000002,-0.421653,SDSS J010418.71-002517.9,0.8079999999999999,DR14Q
16.0790861,0.15823510000000002,SDSS J010418.98+000929.6,2.6039999999999996,DR14Q
16.081101800000003,-0.1215097,SDSS J010419.46-000717.4,1.587,DR14Q
16.083494,0.11148110000000001,SDSS J010420.03+000641.3,0.156,DR14
16.085121,-1.015915,SDSS J010420.42-010057.2,0.37200000000000005,DR14
16.087097500000002,-0.7399955,SDSS J010420.90-004423.9,1.037,DR14Q
16.0881854,0.3972206,SDSS J010421.16+002349.9,0.821,DR14Q
16.0895699,0.1798144,SDSS J010421.49+001047.3,1.72,DR14Q
16.0982861,-0.13761500000000002,SDSS J010423.58-000815.4,2.44,DR14Q
16.0993229,-0.6761267,SDSS J010423.83-004034.0,1.631,DR14Q
16.1010044,0.37866669999999997,SDSS J010424.24+002243.2,1.315,DR14Q
16.1038143,-0.736633,SDSS J010424.91-004411.8,1.045,DR14Q
16.107028099999997,0.8442242,SDSS J010425.68+005039.2,3.0010000000000003,DR14Q
16.1129985,0.7150829000000001,SDSS J010427.11+004254.2,1.2770000000000001,DR14Q
16.1184753,-0.45521229999999996,2SLAQ J010428.42-002718.6,1.344,2SLAQ
16.119128,0.2683718,SDSS J010428.59+001606.1,0.418,DR14
16.120446400000002,-0.6509385,SDSS J010428.90-003903.3,2.359,DR14Q
16.123972,-0.6161125,SDSS J010429.75-003658.0,2.937,DR14Q
16.124315300000003,-0.581548,SDSS J010429.83-003453.5,1.186,DR14Q
16.124435000000002,-0.6740849,SDSS J010429.86-004026.7,2.542,DR14Q
16.124592,0.5455706,SDSS J010429.90+003244.0,1.228,DR14Q
16.125704000000002,1.0893558,SDSS J010430.16+010521.6,1.094,DR14Q
16.1274186,-1.241753,LBQS 0101-0130,1.1540000000000001,DR7Q
16.1276783,-1.1044676000000002,SDSS J010430.64-010616.0,2.213,DR14Q
16.130188,1.001421,SDSS J010431.24+010005.1,1.202,DR14Q
16.1305118,-0.8218859000000001,2SLAQ J010431.32-004918.8,2.392,2SLAQ
16.1336237,0.5683729000000001,SDSS J010432.06+003406.1,2.602,DR14Q
16.1339269,0.8187513000000001,SDSS J010432.14+004907.5,1.69,DR14Q
16.1389581,0.8799344000000001,SDSS J010433.34+005247.7,1.757,DR14Q
16.140330300000002,-0.6620835,SDSS J010433.67-003943.5,1.237,DR14Q
16.1404829,0.6269449,SDSS J010433.71+003737.0,2.4659999999999997,DR14Q
16.1418419,-0.823709,SDSS J010434.04-004925.3,1.3940000000000001,DR14Q
16.143297,-0.404231,2SLAQ J010434.39-002415.2,0.48,2SLAQ
16.1439876,-0.7277599,2SLAQ J010434.54-004339.8,1.663,2SLAQ
16.144379699999998,0.47220690000000004,SDSS J010434.65+002819.9,1.7069999999999999,DR14Q
16.144451999999998,-0.40298740000000005,SDSS J010434.66-002410.7,0.573,DR14Q
16.145858800000003,-0.383533,SDSS J010435.00-002300.7,2.009,DR14Q
16.14772,-0.7719680999999999,SDSS J010435.45-004619.0,1.345,DR14Q
16.1486957,-0.7481955,SDSS J010435.68-004453.5,1.739,DR14Q
16.149209,-0.6463682,SDSS J010435.81-003846.9,0.136,DR14
16.151004,-0.2624698,SDSS J010436.24-001544.8,2.0269999999999997,DR14Q
16.1526508,0.9485287,SDSS J010436.63+005654.7,2.565,DR14Q
16.1527497,0.36013270000000003,SDSS J010436.65+002136.4,1.655,DR14Q
16.154819500000002,-0.589735,SDSS J010437.15-003523.0,1.642,DR14Q
16.1604927,0.5518993000000001,SDSS J010438.51+003306.8,2.3680000000000003,DR14Q
16.1613064,-1.235514,SDSS J010438.71-011407.8,1.062,DR14Q
16.1631441,-1.2297332,SDSS J010439.15-011347.0,1.042,DR14Q
16.163185000000002,-1.0452654000000001,2SLAQ J010439.16-010242.6,0.46799999999999997,2SLAQ
16.1633457,-0.9626275,SDSS J010439.20-005745.4,1.255,DR14Q
16.1657267,-0.9057291999999999,SDSS J010439.77-005420.6,4.11,DR14Q
16.1693013,0.1624348,2SLAQ J010440.62+000944.8,1.76,2SLAQ
16.169380800000003,1.2054479999999999,SDSS J010440.65+011219.6,1.238,DR14Q
16.1694446,-0.14065450000000002,SDSS J010440.66-000826.3,0.8759999999999999,DR14Q
16.1718695,0.2310944,SDSS J010441.24+001351.9,1.361,DR14Q
16.1746829,-0.7773015,SDSS J010441.92-004638.2,1.2990000000000002,DR14Q
16.1761725,-0.47714490000000004,SDSS J010442.28-002837.7,0.863,DR14Q
16.1785598,0.1115367,SDSS J010442.85+000641.5,2.146,DR14Q
16.179419,0.596182,2SLAQ J010443.06+003546.2,0.22,2SLAQ
16.1798548,0.4858067,SDSS J010443.16+002908.9,1.913,DR14Q
16.1853089,-0.6146859,2SLAQ J010444.46-003652.7,1.041,2SLAQ
16.1880184,0.5096587,SDSS J010445.12+003034.7,2.028,DR14Q
16.190567,0.5132706,SDSS J010445.73+003047.7,0.309,DR14
16.200570499999998,-0.7330529,SDSS J010448.13-004358.9,2.423,DR14Q
16.2015552,0.3697554,SDSS J010448.37+002211.1,2.481,DR14Q
16.207491,0.40266729999999995,SDSS J010449.79+002409.6,2.5989999999999998,DR14Q
16.208494899999998,0.9980661,SDSS J010450.03+005953.0,1.287,DR14Q
16.210687699999998,-0.048882,SDSS J010450.56-000255.9,1.344,DR14Q
16.2122576,0.5452646,SDSS J010450.94+003242.9,1.62,DR14Q
16.2148055,0.6996163000000001,SDSS J010451.55+004158.6,3.248,DR14Q
16.215518499999998,0.6391098000000001,SDSS J010451.72+003820.7,0.59,DR14Q
16.2170829,0.9598671,SDSS J010452.09+005735.5,1.097,DR14Q
16.218807199999997,-0.4418696,SDSS J010452.51-002630.7,0.976,DR14Q
